ID	Name	Pathways	Reactions	
G1FV3-30040	YALI0B15304g	5-aminoimidazole ribonucleotide biosynthesis I, 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)	5-phospho-&alpha;-D-ribose 1-diphosphate + L-glutamine + H<sub>2</sub>O  &rarr;  5-phospho-&beta;-D-ribosylamine + L-glutamate + diphosphate	
G1FV3-30047	YALI0B15444g	L-lysine biosynthesis IV	L-saccharopine + NAD<sup>+</sup> + H<sub>2</sub>O  &rarr;  2-oxoglutarate + L-lysine + NADH + H<SUP>+</SUP>	
G1FV3-30054	YALI0B15598g	pentose phosphate pathway (oxidative branch)	D-gluconate 6-phosphate + NADP<sup>+</sup>  =  D-ribulose 5-phosphate + CO<SUB>2</SUB> + NADPH, D-gluconate 6-phosphate + NAD<sup>+</sup>  =  D-ribulose 5-phosphate + CO<SUB>2</SUB> + NADH, D-gluconate 6-phosphate + NAD(P)<sup>+</sup>  &rarr;  D-ribulose 5-phosphate + CO<SUB>2</SUB> + NAD(P)H	
G1FV3-30057	YALI0B15664g			
G1FV3-30067	YALI0B15884g	ubiquinol-9 biosynthesis (eukaryotic), ubiquinol-10 biosynthesis (eukaryotic), ubiquinol-7 biosynthesis (eukaryotic), ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic), ubiquinol-8 biosynthesis (eukaryotic)	<i>S</i>-adenosyl-L-methionine + 3,4-dihydroxy-5-<i>all-trans</i>-hexaprenylbenzoate  &rarr;  <i>S</i>-adenosyl-L-homocysteine + 3-methoxy-4-hydroxy-5-<i>all-trans</i>-hexaprenylbenzoate + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3,4-dihydroxy-5-<i>all-trans</i>-decaprenylbenzoate  &rarr;  3-methoxy-4-hydroxy-5-<i>all-trans</i>-decaprenylbenzoate + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3,4-dihydroxy-5-<i>all-trans</i>-heptaprenylbenzoate  &rarr;  3-methoxy-4-hydroxy-5-<i>all-trans</i>-heptaprenylbenzoate + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3,4-dihydroxy-5-<i>all-trans</i>-nonaprenylbenzoate  &rarr;  3-methoxy-4-hydroxy-5-<i>all-trans</i>-nonaprenylbenzoate + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + a 3,4-dihydroxy-5-<i>all-trans</i>-polyprenylbenzoate  &rarr;  a 3-methoxy-4-hydroxy-5-<i>all-trans</i>-polyprenylbenzoate + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3,4-dihydroxy-5-<i>all-trans</i>-octaprenylbenzoate  &rarr;  3-methoxy-4-hydroxy-5-<i>all-trans</i>-octaprenylbenzoate + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3-demethylubiquinol-9  &rarr;  <i>S</i>-adenosyl-L-homocysteine + ubiquinol-<i>9</i> + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + a 3-demethyubiquinol  &rarr;  <i>S</i>-adenosyl-L-homocysteine + an ubiquinol + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3-demethylubiquinol-10  &rarr;  <i>S</i>-adenosyl-L-homocysteine + ubiquinol-<i>10</i> + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3-demethylubiquinol-<i>7</i>  &rarr;  <i>S</i>-adenosyl-L-homocysteine + ubiquinol-<i>7</i> + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3-demethylubiquinol-6  &rarr;  <i>S</i>-adenosyl-L-homocysteine + ubiquinol-6 + H<SUP>+</SUP>, <i>S</i>-adenosyl-L-methionine + 3-demethylubiquinol-<i>8</i>  &rarr;  <i>S</i>-adenosyl-L-homocysteine + ubiquinol-<i>8</i> + H<SUP>+</SUP>	
G1FV3-30074	YALI0B16038g	mevalonate pathway I	(<i>R</i>)-mevalonate + ATP  &rarr;  (<i>R</i>)-mevalonate 5-phosphate + ADP + H<SUP>+</SUP>	
G1FV3-30077	YALI0B16104g	guanosine ribonucleotides <i>de novo</i> biosynthesis, L-glutamine degradation I	XMP + L-glutamine + ATP + H<sub>2</sub>O  &rarr;  L-glutamate + GMP + AMP + diphosphate + 2 H<SUP>+</SUP>, L-glutamine + H<sub>2</sub>O  &rarr;  L-glutamate + ammonium, XMP + ammonium + ATP  &rarr;  GMP + AMP + diphosphate + 2 H<SUP>+</SUP>	
G1FV3-30078	YALI0B16126g		a protein that ends with a CaaX sequence + (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate  &rarr;  a farnesylated protein that ends with a CaaX sequence + diphosphate, a [protein]-L-cysteine + (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate  =  a [protein] <i>S</i>-farnesyl-L-cysteine + diphosphate, geranylgeranyl diphosphate + a [protein]-L-cysteine  =  a [protein]-<i>S</i>-geranylgeranyl-L-cysteine + diphosphate	
G1FV3-30081	YALI0B16192g		D-sorbitol + NADP<sup>+</sup>  =  <i>keto</i>-L-sorbose + NADPH + H<SUP>+</SUP>	
G1FV3-30082	YALI0B16214g			
G1FV3-30087	YALI0B16324g	chitin biosynthesis	UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine + [1,4-(<i>N</i>-acetyl-&beta;-D-glucosaminyl)]<sub>n</sub>  &rarr;  UDP + [1,4-(<i>N</i>-acetyl-&beta;-D-glucosaminyl)]<sub>(n+1)</sub>	
G1FV3-30096	YALI0B16522g		an amino acid<sub>[periplasm]</sub>  &rarr;  an amino acid<sub>[cytosol]</sub>	
G1FV3-30127	YALI0B17204g			
G1FV3-30134	YALI0B17336g	L-phenylalanine biosynthesis I	prephenate + H<SUP>+</SUP>  &rarr;  2-oxo-3-phenylpropanoate + CO<SUB>2</SUB> + H<sub>2</sub>O	
G1FV3-30137	YALI0B17402g	inosine-5'-phosphate biosynthesis II, adenosine ribonucleotides <i>de novo</i> biosynthesis	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  &rarr;  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide, adenylo-succinate  &rarr;  fumarate + AMP	
G1FV3-30148	YALI0B17644g	zymosterol biosynthesis	3-dehydro-4-methylzymosterol + NADPH + H<SUP>+</SUP>  &rarr;  4&alpha;-methyl-zymosterol + NADP<sup>+</sup>, zymostenol + NADP<sup>+</sup>  =  5&alpha;-cholesta-8-en-3-one + NADPH + H<SUP>+</SUP>, 5&alpha;-cholesta-8,24-dien-3-one + NADPH + H<SUP>+</SUP>  &rarr;  zymosterol + NADP<sup>+</sup>, 4&alpha;-methyl-cholesta-8-enol + NADP<sup>+</sup>  =  4&alpha;-methyl-5&alpha;-cholesta-8-en-3-one + NADPH + H<SUP>+</SUP>, 4&alpha;-methyl-5&alpha;-cholest-7-en-3&beta;-ol + NADP<sup>+</sup>  =  4&alpha;-methyl-5&alpha;-cholest-7-en-3-one + NADPH + H<SUP>+</SUP>, a 3&beta;-hydroxysteroid + NADP<sup>+</sup>  =  a 3-oxosteroid + NADPH + H<SUP>+</SUP>	
G1FV3-30149	YALI0B17666g	L-arginine biosynthesis II (acetyl cycle)	a [lysine-biosynthesis-protein LysW]-C-terminal-&gamma;-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate + NADP<sup>+</sup> + phosphate  =  a [lysine-biosynthesis-protein LysW]-C-terminal-&gamma;-(5-phospho-L-glutamyl)-L-glutamate + NADPH + H<SUP>+</SUP>, <i>N</i>-acetylglutamyl-phosphate + NADPH + H<SUP>+</SUP>  &rarr;  <i>N</i>-acetyl-L-glutamate 5-semialdehyde + NADP<sup>+</sup> + phosphate, a [lysine-biosynthesis-protein LysW]-C-terminal-&gamma;-(L-glutamyl)-L-glutamate + ATP  =  a [lysine-biosynthesis-protein LysW]-C-terminal-&gamma;-(5-phospho-L-glutamyl)-L-glutamate + ADP, <i>N</i>-acetyl-L-glutamate + ATP  &rarr;  <i>N</i>-acetylglutamyl-phosphate + ADP	
G1FV3-30150	YALI0B17688g	ceramide <i>de novo</i> biosynthesis, sphingolipid biosynthesis (yeast)	sphinganine (C20) + NADP<sup>+</sup>  =  3-dehydrosphinganine (C20) + NADPH + H<SUP>+</SUP>, L-<i>threo</i>-sphinganine + NADP<sup>+</sup>  =  3-dehydrosphinganine + NADPH + H<SUP>+</SUP>, 3-dehydrosphinganine + NADPH + H<SUP>+</SUP>  &rarr;  D-<i>erythro</i>-sphinganine + NADP<sup>+</sup>	
G1FV3-30158	YALI0B17864g			
G1FV3-30161	YALI0B17930g		sulfate<sub>[periplasm]</sub> + an anion<sub>[periplasm]</sub>  &rarr;  sulfate<sub>[cytosol]</sub> + an anion<sub>[cytosol]</sub>	
G1FV3-30163	YALI0B17996g		a &beta;-D-glucan with a C3-substituted glucose + H<sub>2</sub>O  &rarr;  a &beta;-D glucan + a &beta;-D glucan	
G1FV3-30180	YALI0B18348g	GDP-mannose biosynthesis, D-mannose degradation	D-mannopyranose 6-phosphate  &harr;  &beta;-D-fructofuranose 6-phosphate	
G1FV3-30199	YALI0B18759g		ATP  =  cyclic-AMP + diphosphate	
G1FV3-30206	YALI0B18898g	phosphopantothenate biosynthesis I	a 5,10-methylenetetrahydrofolate + 3-methyl-2-oxobutanoate + H<sub>2</sub>O  &rarr;  2-dehydropantoate + a tetrahydrofolate, 3-methyl-2-oxobutanoate + 5,10-methylene-tetrahydromethanopterin + H<sub>2</sub>O  =  2-dehydropantoate + tetrahydromethanopterin	
G1FV3-30225	YALI0B19338g		an amino acid<sub>[periplasm]</sub>  &rarr;  an amino acid<sub>[cytosol]</sub>	
G1FV3-30226	YALI0B19360g			
G1FV3-30227	YALI0B19382g	fatty acids biosynthesis (yeast), fatty acid biosynthesis initiation II, octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast), palmitate biosynthesis I (animals and fungi), stearate biosynthesis III (fungi)	a stearoyl-[acp] + coenzyme A  &rarr;  stearoyl-CoA + acyl-carrier protein, an octanoyl-[acp] + malonyl-CoA + H<SUP>+</SUP>  &rarr;  a 3-oxodecanoyl-[acp] + CO<SUB>2</SUB> + coenzyme A, a (2<i>E</i>)-but-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a butanoyl-[acp] + NADP<sup>+</sup>, a myristoyl-[acp] + malonyl-CoA + H<SUP>+</SUP>  &rarr;  a 3-oxohexadecanoyl-[acp] + CO<SUB>2</SUB> + coenzyme A, a (3R,6Z)-3-hydroxyoctadec-6-enoyl-[acp]  =  a (2E,6Z)-octadecadienoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxytetracosanoyl-[acp]  =  a trans-tetracos-2-enoyl-[acp] + H<sub>2</sub>O, a (<i>3R</i>)-3-hydroxydodecanoyl-[acp]  &rarr;  a (2<i>E</i>)-dodec-2-enoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxyhexacosanoyl-[acp]  =  a <i>trans</i>-hexacos-2-enoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxydocosanoyl-[acp]  =  a (2<i>E</i>)-docos-2-enoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxyicosanoyl-[acp]  =  a (2<i>E</i>)-icos-2-enoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>,11<i>Z</i>)-3-hydroxyoctadec-11-enoyl-[acp]  =  a (2<i>E</i>,11<i>Z</i>)-octadeca-2,11-dienoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxyoctanoyl-[acp]  &rarr;  a (2<i>E</i>)-oct-2-enoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxyacyl-[acyl-carrier protein]  =  a <i>trans</i>-2-enoyl-[acyl-carrier protein] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxyhexanoyl-[acp]  &rarr;  a (2<i>E</i>)-hex-2-enoyl-[acp] + H<sub>2</sub>O, a 2,3,4-saturated fatty acyl-[acp] + a malonyl-[acp] + H<SUP>+</SUP>  =  a 3-oxoacyl-[acp] + CO<SUB>2</SUB> + acyl-carrier protein, a (<i>3R</i>)-3-hydroxybutanoyl-[acp]  &rarr;  a (2<i>E</i>)-but-2-enoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxyoctadecanoyl-[acp]  &rarr;  a (2<i>E</i>)-octadec-2-enoyl-[acp] + H<sub>2</sub>O, a hexanoyl-[acp] + malonyl-CoA + H<SUP>+</SUP>  &rarr;  a 3-oxooctanoyl-[acp] + CO<SUB>2</SUB> + coenzyme A, acetyl-CoA + n malonyl-CoA + 2n NADPH + 4n H<SUP>+</SUP>  &rarr;  a long-chain acyl-CoA + n CO<SUB>2</SUB> + n coenzyme A + 2n NADP<sup>+</sup>, a dodecanoyl-[acp] + a malonyl-[acp] + H<SUP>+</SUP>  =  a 3-oxotetradecanoyl-[acp] + CO<SUB>2</SUB> + acyl-carrier protein, a dodecanoyl-[acp] + malonyl-CoA + H<SUP>+</SUP>  &rarr;  a 3-oxotetradecanoyl-[acp] + CO<SUB>2</SUB> + coenzyme A, acetyl-CoA + acyl-carrier protein  &rarr;  an acetyl-[acp] + coenzyme A, an acetyl-[acp] + a malonyl-[acp] + H<SUP>+</SUP>  &rarr;  acyl-carrier protein + an acetoacetyl-[acp] + CO<SUB>2</SUB>, a palmitoyl-[acp] + a malonyl-[acp] + H<SUP>+</SUP>  &rarr;  a 3-oxooctadecanoyl-[acp] + CO<SUB>2</SUB> + acyl-carrier protein, a (3<i>R</i>)-3-hydroxyhexadecanoyl-[acp]  &rarr;  a (2<i>E</i>)-hexadec-2-enoyl-[acp] + H<sub>2</sub>O, a butanoyl-[acp] + malonyl-CoA + H<SUP>+</SUP>  &rarr;  a 3-oxohexanoyl-[acp] + CO<SUB>2</SUB> + coenzyme A, acyl-carrier protein + malonyl-CoA  &rarr;  a malonyl-[acp] + coenzyme A, a decanoyl-[acp] + malonyl-CoA + H<SUP>+</SUP>  &rarr;  a 3-oxododecanoyl-[acp] + CO<SUB>2</SUB> + coenzyme A, a (2<i>E</i>)-octadec-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a stearoyl-[acp] + NADP<sup>+</sup>, a (2<i>E</i>)-tetradec-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a myristoyl-[acp] + NADP<sup>+</sup>, a (2<i>E</i>)-dodec-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a dodecanoyl-[acp] + NADP<sup>+</sup>, a (2<i>E</i>)-hexadec-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a palmitoyl-[acp] + NADP<sup>+</sup>, a (2<i>E</i>)-hex-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a hexanoyl-[acp] + NADP<sup>+</sup>, a (2<i>E</i>)-dec-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a decanoyl-[acp] + NADP<sup>+</sup>, a (2<i>E</i>)-oct-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  an octanoyl-[acp] + NADP<sup>+</sup>, a 2,3,4-saturated fatty acyl-[acp] + NADP<sup>+</sup>  =  a <i>trans</i>-2-enoyl-[acyl-carrier protein] + NADPH + H<SUP>+</SUP>, a (3<i>R</i>)-3-hydroxytetradecanoyl-[acp]  &rarr;  a (2<i>E</i>)-tetradec-2-enoyl-[acp] + H<sub>2</sub>O, a (3<i>R</i>)-3-hydroxydecanoyl-[acp]  &rarr;  a (2<i>E</i>)-dec-2-enoyl-[acp] + H<sub>2</sub>O, a (7<i>Z</i>)-3-oxohexacos-7-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>,7<i>Z</i>)-3-hydroxyhexacos-7-enoyl-[acp] + NADP<sup>+</sup>, a cis-delta19-3-oxo-C38:1-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a cis-delta19-3-hydroxyC38:1-[acp] + NADP<sup>+</sup>, a cis-delta13-3-oxo-C32:1-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a cis-delta13-3-hydroxyC32:1-[acp] + NADP<sup>+</sup>, a (9<i>Z</i>)-3-oxooctacos-9-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a cis-delta9-3-hydroxyC28:1-[acp] + NADP<sup>+</sup>, a (9<i>Z</i>)-3-oxohexadec-9-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>,9<i>Z</i>)-3-hydroxyhexadec-9-enoyl-[acp] + NADP<sup>+</sup>, a cis-delta21-3-oxo-C40:1-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a cis-delta21-3-hydroxyC40:1-[acp] + NADP<sup>+</sup>, a cis-delta15-3-oxo-C34:1-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a cis-delta15-3-hydroxyC34:1-[acp] + NADP<sup>+</sup>, a 3-oxooctadecanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxyoctadecanoyl-[acp] + NADP<sup>+</sup>, a (6<i>Z</i>)-3-oxooctadec-6-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3R,6Z)-3-hydroxyoctadec-6-enoyl-[acp] + NADP<sup>+</sup>, a 3-oxotetradecanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxytetradecanoyl-[acp] + NADP<sup>+</sup>, a 3-oxotetracosanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxytetracosanoyl-[acp] + NADP<sup>+</sup>, a 3-oxohexanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxyhexanoyl-[acp] + NADP<sup>+</sup>, a 3-oxododecanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (<i>3R</i>)-3-hydroxydodecanoyl-[acp] + NADP<sup>+</sup>, a 3-oxohexacosanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxyhexacosanoyl-[acp] + NADP<sup>+</sup>, a 3-oxodocosanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxydocosanoyl-[acp] + NADP<sup>+</sup>, a 3-oxodocosanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxydocosanoyl-[acp] + NADP<sup>+</sup>, a 3-oxoicosanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxyicosanoyl-[acp] + NADP<sup>+</sup>, an (11<i>Z</i>)-3-oxooctadec-11-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>,11<i>Z</i>)-3-hydroxyoctadec-11-enoyl-[acp] + NADP<sup>+</sup>, a 3-oxohexadecanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxyhexadecanoyl-[acp] + NADP<sup>+</sup>, a 3-oxodecanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxydecanoyl-[acp] + NADP<sup>+</sup>, an acetoacetyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (<i>3R</i>)-3-hydroxybutanoyl-[acp] + NADP<sup>+</sup>, a 3-oxopimeloyl-[acp] methyl ester + NADPH + H<SUP>+</SUP>  &rarr;  a (3R)-3-hydroxypimeloyl-[acp] methyl ester + NADP<sup>+</sup>, a 3-oxoglutaryl-[acp] methyl ester + NADPH + H<SUP>+</SUP>  &rarr;  a (3R)-3-hydroxyglutaryl-[acp] methyl ester + NADP<sup>+</sup>, a 3-oxooctanoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxyoctanoyl-[acp] + NADP<sup>+</sup>, a (5<i>Z</i>)-3-oxotetracos-5-enoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>,5<i>Z</i>)-3-hydroxytetracos-5-enoyl-[acp] + NADP<sup>+</sup>, a (7<i>Z</i>,10<i>Z</i>,13<i>Z</i>,16<i>Z</i>,19<i>Z</i>)-3-oxodocosa-7,10,13,16,19-pentaenoyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>,7<i>Z</i>,10<i>Z</i>,13<i>Z</i>,16<i>Z</i>,19<i>Z</i>)-3-hydroxydocosa-7,10,13,16,19-pentaenoyl-[acp] + NADP<sup>+</sup>, a cis-delta17-3-oxo-C36:1-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a cis-delta17-3-hydroxyC36:1-[acp] + NADP<sup>+</sup>, a cis-delta11-3-oxo-C30:1-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a cis-delta11-3-hydroxyC30:1-[acp] + NADP<sup>+</sup>, a 3-oxoacyl-[acp] + NADPH + H<SUP>+</SUP>  &rarr;  a (3<i>R</i>)-3-hydroxyacyl-[acyl-carrier protein] + NADP<sup>+</sup>	
G1FV3-30231	YALI0B19492g		an amino acid<sub>[periplasm]</sub>  &rarr;  an amino acid<sub>[cytosol]</sub>	
G1FV3-30243	YALI0B19800g			
G1FV3-30249	YALI0B19976g	formate oxidation to CO<sub>2</sub>	formate + NAD<sup>+</sup>  &rarr;  CO<SUB>2</SUB> + NADH	
G1FV3-30251	YALI0B19998g	L-glutamate biosynthesis I, L-glutamate biosynthesis III, L-glutamine degradation I, L-glutamate biosynthesis IV, ammonia assimilation cycle I	L-glutamine + 2-oxoglutarate + NADPH + H<SUP>+</SUP>  &rarr;  2 L-glutamate + NADP<sup>+</sup>, L-glutamate + NADP<sup>+</sup> + H<sub>2</sub>O  &harr;  ammonium + 2-oxoglutarate + NADPH + H<SUP>+</SUP>, L-glutamine + H<sub>2</sub>O  &rarr;  L-glutamate + ammonium, L-glutamine + 2-oxoglutarate + NADH + H<SUP>+</SUP>  &rarr;  2 L-glutamate + NAD<sup>+</sup>	
G1FV3-30252	YALI0B20020g	3-dehydroquinate biosynthesis I	phospho<i>enol</i>pyruvate + D-erythrose 4-phosphate + H<sub>2</sub>O  &rarr;  3-deoxy-D-arabino-heptulosonate 7-phosphate + phosphate	
G1FV3-30259	YALI0B20196g	stearate biosynthesis I (animals and fungi), very long chain fatty acid biosynthesis I, sciadonate biosynthesis, very long chain fatty acid biosynthesis II, juniperonate biosynthesis	docosanoyl-CoA + malonyl-CoA + H<SUP>+</SUP>  &rarr;  3-oxo-lignoceroyl-CoA + CO<SUB>2</SUB> + coenzyme A, malonyl-CoA + palmitoyl-CoA + H<SUP>+</SUP>  &rarr;  3-oxo-stearoyl-CoA + CO<SUB>2</SUB> + coenzyme A, icosanoyl-CoA + malonyl-CoA + H<SUP>+</SUP>  &rarr;  3-oxo-behenoyl-CoA + CO<SUB>2</SUB> + coenzyme A, malonyl-CoA + a very-long-chain 2,3,4-saturated fatty acyl CoA  &rarr;  a very-long-chain oxoacyl-CoA + CO<SUB>2</SUB> + coenzyme A, malonyl-CoA + linoleoyl-CoA + H<SUP>+</SUP>  &rarr;  3-oxo-(11Z,14Z)-icosa-11,14-dienoyl-CoA + CO<SUB>2</SUB> + coenzyme A, malonyl-CoA + oleoyl-CoA + H<SUP>+</SUP>  =  3-oxo-(11Z)-eicos-11-enoyl-CoA + CO<SUB>2</SUB> + coenzyme A, lignoceroyl-CoA + malonyl-CoA + H<SUP>+</SUP>  &rarr;  3-oxo-cerotoyl-CoA + CO<SUB>2</SUB> + coenzyme A, malonyl-CoA + stearoyl-CoA + H<SUP>+</SUP>  &rarr;  3-oxoicosanoyl-CoA + CO<SUB>2</SUB> + coenzyme A, densipoloyl-CoA + malonyl-CoA + H<SUP>+</SUP>  =  3-oxo-auricoloyl-CoA + CO<SUB>2</SUB> + coenzyme A, ricinoleoyl-CoA + malonyl-CoA + H<SUP>+</SUP>  =  3-oxo-lesqueroloyl-CoA + CO<SUB>2</SUB> + coenzyme A, malonyl-CoA + &alpha;-linolenoyl-CoA + H<SUP>+</SUP>  &rarr;  3-oxo-icosatrienoyl-CoA + CO<SUB>2</SUB> + coenzyme A	
G1FV3-30270	YALI0B20438g	L-serine biosynthesis	3-phospho-L-serine + H<sub>2</sub>O  &rarr;  L-serine + phosphate, L(or D)-<i>O</i>-phosphoserine + H<sub>2</sub>O + H<SUP>+</SUP>  &rarr;  serine + phosphate	
G1FV3-30305	YALI0B21142g			
G1FV3-30318	YALI0B21428g	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	&beta;-D-fructofuranose 6-phosphate + L-glutamine  &harr;  D-glucosamine 6-phosphate + L-glutamate	
G1FV3-30336	YALI0B21780g			
G1FV3-30339	YALI0B21846g		2-oxo-3-phenylpropanoate + oxygen  &rarr;  2-hydroxyphenylacetate + CO<SUB>2</SUB>, 4-hydroxyphenylpyruvate + oxygen  &rarr;  CO<SUB>2</SUB> + homogentisate	
G1FV3-30348	YALI0B22066g		ATP + H<SUP>+</SUP><sub>[in]</sub> + H<sub>2</sub>O  =  ADP + phosphate + 2 H<SUP>+</SUP><sub>[out]</sub>	
G1FV3-30360	YALI0B22308g	trehalose degradation II (trehalase), glycolysis III (from glucose), sucrose degradation III (sucrose invertase)	a D-hexose + ATP  &rarr;  D-hexose 6-phosphate + ADP + H<SUP>+</SUP>, D-glucopyranose + ATP  &rarr;  D-glucopyranose 6-phosphate + ADP + H<SUP>+</SUP>	
G1FV3-30369	YALI0B22506g	formate oxidation to CO<sub>2</sub>	formate + NAD<sup>+</sup>  &rarr;  CO<SUB>2</SUB> + NADH	
G1FV3-30371	YALI0B22550g	L-leucine degradation I	(<i>S</i>)-3-hydroxy-3-methylglutaryl-CoA  &rarr;  acetoacetate + acetyl-CoA	
G1FV3-30377	YALI0B22682g			
G1FV3-30387	YALI0B22902g	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	3-hydroxy-L-kynurenine + H<sub>2</sub>O  &rarr;  3-hydroxyanthranilate + L-alanine + H<SUP>+</SUP>, L-kynurenine + H<sub>2</sub>O  =  L-alanine + anthranilate + H<SUP>+</SUP>	
G1FV3-30388	YALI0B22924g			
G1FV3-30401	YALI0B23188g	inosine-5'-phosphate biosynthesis II	5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole + CO<SUB>2</SUB>  &rarr;  5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + 2 H<SUP>+</SUP>	
G1FV3-30406	YALI0B23298g	zymosterol biosynthesis	4,4-dimethyl-cholesta-8,14,24-trienol + NADPH + H<SUP>+</SUP>  &rarr;  4,4-dimethylzymosterol + NADP<sup>+</sup>, 4&alpha;-methyl-5&alpha;-ergosta-8,24-dien-3&beta;-ol + NADP<sup>+</sup>  =  4&alpha;-methyl-5&alpha;-ergosta-8,14,24(28)-trien-3&beta;-ol + NADPH + H<SUP>+</SUP>, 4,4-dimethyl-5&alpha;-cholesta-8-en-3-&beta;-ol + NADP<sup>+</sup>  =  4,4-dimethyl-5-&alpha;-cholesta-8,14-dien-3-&beta;-ol + NADPH + H<SUP>+</SUP>	
G1FV3-30412	YALI0B23430g			
